歌曲名,歌手,专辑,封面,播放次数,播放得分,发行时间,时长,是否VIP,是否已购买,MV,音质
Faded,Alan Walker,Faded,http://p1.music.126.net/OEZ0FzlPU-GPUjqHgCRqjA==/109951165976856263.jpg,87,35,2015/12/4,3:32,是,是,https://music.163.com/mv?id=524116,无损（1411kbps）
Miracle Man,AWOLNATION,Here Come the Runts,http://p1.music.126.net/tczGmPxzjYYLt5iX_l_avA==/109951166451614250.jpg,87,35,2018/2/2,3:23,是,是,,无损（1648kbps）
"come on, sweet death",arianne schreiber,最新热歌慢摇101,http://p1.music.126.net/FZX7XAjsmEPGyVOqm4H7aQ==/109951166361039007.jpg,86,34,2015/1/1,7:43,否,否,,高品质（996kbps）
Table for One,AWOLNATION,Here Come the Runts,http://p1.music.126.net/tczGmPxzjYYLt5iX_l_avA==/109951166451614250.jpg,85,34,2018/2/2,4:39,是,是,,无损（1498kbps）
"对不起,谢谢",陈奕迅,怎么样,http://p1.music.126.net/97hiochir_wXctriJGBs9Q==/109951163381539388.jpg,85,34,2005/1/1,4:21,是,是,,高品质（906kbps）
Circles,Post Malone,Circles,http://p1.music.126.net/w1VjMNiMo10fU13rxfCDUw==/109951169872426635.jpg,85,34,2019/8/30,3:34,是,是,https://music.163.com/mv?id=10888591,高品质（959kbps）
三年二班,周杰伦,叶惠美,http://p1.music.126.net/ZGffiDQZrGj5s_hnR1CNbg==/109951165566379710.jpg,84,33,2003/7/31,4:40,否,否,https://music.163.com/mv?id=507015,高品质（896kbps）
Flower Dance,DJ Okawari,A Cup Of Coffee,http://p1.music.126.net/Ht2oP1r8uK7GSZGZupbBWA==/109951168761281269.jpg,84,33,2010/9/29,4:25,是,是,,高品质（841kbps）
偷心,张学友,偷心,http://p1.music.126.net/wF6zf7OlTJDf-o7EfttKuQ==/109951169525396722.jpg,84,33,1994/8/23,4:21,是,是,https://music.163.com/mv?id=14205516,高品质（745kbps）
Call me later,小林未郁,青の祓魔師 Plugless,http://p1.music.126.net/FtyY2pzA13MeqOn2BYs2xQ==/109951166197903615.jpg,84,33,2013/7/3,3:19,是,是,,无损（1530kbps）
時代を超える想い2,和田薫,映画「犬夜叉 時代を越える想い」音楽篇,http://p1.music.126.net/Ej8tzRsqWCJX0Fct-3gtoQ==/19227159834932766.jpg,84,33,2001/12/12,2:27,否,否,,高品质（584kbps）
時雨,川嶋あい,雪に咲く花のように…,http://p1.music.126.net/nhriFUYrYJ-MLQq_kGNgmQ==/866415162687520.jpg,83,33,2003/3/14,5:07,否,否,,标准（0kbps）
No matter where you are,石川由依,TVアニメ「進撃の巨人」キャラクターイメージソングシリーズ Vol.02,http://p1.music.126.net/TZEX8e13DnR4A4c4qlgVrQ==/109951163598485627.jpg,83,33,2017/3/15,4:28,是,是,,高品质（911kbps）
雲流れ,みかん箱 / Foxtail-Grass Studio,pastoral landscape,http://p1.music.126.net/JFnBz-eyIBltKt15wjjFUA==/4455221115751031.jpg,83,33,2010/3/14,4:12,是,是,,高品质（866kbps）
梯田,周杰伦,叶惠美,http://p1.music.126.net/ZGffiDQZrGj5s_hnR1CNbg==/109951165566379710.jpg,83,33,2003/7/31,3:33,否,否,https://music.163.com/mv?id=507014,高品质（829kbps）
勿念他归,V.A.,最新热歌慢摇19,http://p1.music.126.net/FZX7XAjsmEPGyVOqm4H7aQ==/109951166361039007.jpg,82,33,2013/1/1,5:56,否,否,,高品质（419kbps）
无双,周杰伦,我很忙,http://p1.music.126.net/STWQpRLgUBOcXQIDPoEL_A==/109951163533011733.jpg,82,33,2007/11/2,3:53,否,否,https://music.163.com/mv?id=348003,高品质（964kbps）
画,赵雷,赵小雷,http://p1.music.126.net/btBocL7KKvl0sRZY62_BIA==/109951169213244790.jpg,82,33,2011/8/7,3:48,是,是,,高品质（847kbps）
Call of Silence,澤野弘之 / R!N/Gemie,TVアニメ「進撃の巨人」Season 2 オリジナルサウンドトラック,http://p1.music.126.net/nRuQt_bbbiQ70CxwXUHXOQ==/109951163597044887.jpg,82,33,2017/6/7,2:58,是,是,,高品质（751kbps）
時雨,川嶋あい,Piano Songs～路上集2号～,http://p1.music.126.net/Me578G_ehH0RLLmPAVHpXw==/109951165427223375.jpg,81,32,2006/8/23,5:26,是,是,,无损（1287kbps）
亲密爱人2017（feat. 酷癌）,法老 / 酷癌KooEye,亲密爱人2017,http://p1.music.126.net/kkoKhghAtM3fF9zwFaO3xA==/109951162876963189.jpg,81,32,2017/3/14,5:17,否,否,,标准（0kbps）
Resuscitated Hope,コミネリサ,Resuscitated Hope/unity,http://p1.music.126.net/xK8i-J556GAyhiMnkvVonw==/866415162709461.jpg,80,32,2011/4/27,4:57,否,否,,高品质（980kbps）
ALRIGHT,The Birthday,プレスファクトリー,http://p1.music.126.net/idEDb_IvB0_kgaR88Dy37g==/109951166312347711.jpg,80,32,2007/12/5,4:28,是,是,,无损（1041kbps）
ThreeFiveNineFourε,小林未郁,BEST OF SOUNDTRACK【emU】,http://p1.music.126.net/52sVINEmc_3J0IZHI98-CQ==/3286440256131274.jpg,80,32,2015/9/9,4:04,否,否,,无损（1040kbps）
